algorithm,array_type,size,avg_time_ms,avg_comparisons
MSD Radixsort,random,2200,5.245,0
MSD Radixsort (with switch),random,2200,3.2744,13173
Standard Quicksort,reverse sorted,2200,93.6008,2.4189e+006
Standard Mergesort,reverse sorted,2200,12.114,11940
String Quicksort,reverse sorted,2200,3.4034,37697
String Mergesort,reverse sorted,2200,12.0406,11940
MSD Radixsort,reverse sorted,2200,5.5012,0
MSD Radixsort (with switch),reverse sorted,2200,3.401,16404
Standard Quicksort,almost sorted,2200,87.583,2.2018e+006
Standard Mergesort,almost sorted,2200,10.806,12652
String Quicksort,almost sorted,2200,3.9974,77411
String Mergesort,almost sorted,2200,11.223,13907
MSD Radixsort,almost sorted,2200,4.7956,0
MSD Radixsort (with switch),almost sorted,2200,3.5984,34263
Standard Quicksort,random,2300,3.2836,30720
Standard Mergesort,random,2300,14.2468,22792
String Quicksort,random,2300,4.6998,33221
String Mergesort,random,2300,14.8056,22722
MSD Radixsort,random,2300,5.304,0
MSD Radixsort (with switch),random,2300,3.5986,14004
Standard Quicksort,reverse sorted,2300,93.5916,2.64385e+006
Standard Mergesort,reverse sorted,2300,14.405,12512
String Quicksort,reverse sorted,2300,3.6572,39122
String Mergesort,reverse sorted,2300,12.4558,12512
MSD Radixsort,reverse sorted,2300,5.9066,0
MSD Radixsort (with switch),reverse sorted,2300,3.6018,17138
Standard Quicksort,almost sorted,2300,101.763,2.39973e+006
Standard Mergesort,almost sorted,2300,12.8078,13373
String Quicksort,almost sorted,2300,4.3976,85059
String Mergesort,almost sorted,2300,11.6098,14819
MSD Radixsort,almost sorted,2300,5.3974,0
MSD Radixsort (with switch),almost sorted,2300,3.1972,35788
Standard Quicksort,random,2400,2.6,27560
Standard Mergesort,random,2400,13.2062,24003
String Quicksort,random,2400,3.2014,33898
String Mergesort,random,2400,13.088,23936
MSD Radixsort,random,2400,5.2072,0
MSD Radixsort (with switch),random,2400,3.6076,14980
Standard Quicksort,reverse sorted,2400,105.39,2.8788e+006
Standard Mergesort,reverse sorted,2400,13.2148,13040
String Quicksort,reverse sorted,2400,3.6028,43229
String Mergesort,reverse sorted,2400,12.6102,13040
MSD Radixsort,reverse sorted,2400,5.8014,0
MSD Radixsort (with switch),reverse sorted,2400,3.8024,17892
Standard Quicksort,almost sorted,2400,106.455,2.61582e+006
Standard Mergesort,almost sorted,2400,12.2008,14147
String Quicksort,almost sorted,2400,4.6968,92920
String Mergesort,almost sorted,2400,12.5054,15323
MSD Radixsort,almost sorted,2400,5.2752,0
MSD Radixsort (with switch),almost sorted,2400,4.3998,37104
Standard Quicksort,random,2500,3.3082,30916
Standard Mergesort,random,2500,19.0128,25122
String Quicksort,random,2500,4.8514,37103
String Mergesort,random,2500,14.6142,25035
MSD Radixsort,random,2500,5.9186,0
MSD Radixsort (with switch),random,2500,3.998,15470
Standard Quicksort,reverse sorted,2500,110.815,3.12375e+006
Standard Mergesort,reverse sorted,2500,13.906,13652
String Quicksort,reverse sorted,2500,3.2008,41503
String Mergesort,reverse sorted,2500,12.8082,13652
MSD Radixsort,reverse sorted,2500,5.9008,0
MSD Radixsort (with switch),reverse sorted,2500,4.3038,18635
Standard Quicksort,almost sorted,2500,117.852,2.84365e+006
Standard Mergesort,almost sorted,2500,12.6118,14835
String Quicksort,almost sorted,2500,5.0046,98666
String Mergesort,almost sorted,2500,13.8056,16224
MSD Radixsort,almost sorted,2500,6.4028,0
MSD Radixsort (with switch),almost sorted,2500,4.4004,38706
Standard Quicksort,random,2600,2.7996,33007
Standard Mergesort,random,2600,15.0118,26250
String Quicksort,random,2600,3.8012,39770
String Mergesort,random,2600,14.1064,26195
MSD Radixsort,random,2600,6.2008,0
MSD Radixsort (with switch),random,2600,3.905,16176
Standard Quicksort,reverse sorted,2600,131.901,3.3787e+006
Standard Mergesort,reverse sorted,2600,13.603,14260
String Quicksort,reverse sorted,2600,3.9986,44564
String Mergesort,reverse sorted,2600,13.5374,14260
MSD Radixsort,reverse sorted,2600,6.3036,0
MSD Radixsort (with switch),reverse sorted,2600,4.1012,19392
Standard Quicksort,almost sorted,2600,129.337,3.07068e+006
Standard Mergesort,almost sorted,2600,13.817,15527
String Quicksort,almost sorted,2600,4.9008,107096
String Mergesort,almost sorted,2600,13.4038,16407
MSD Radixsort,almost sorted,2600,5.7014,0
MSD Radixsort (with switch),almost sorted,2600,4.2984,40122
Standard Quicksort,random,2700,2.7984,33750
Standard Mergesort,random,2700,15.8058,27447
String Quicksort,random,2700,3.5982,39450
String Mergesort,random,2700,16.0708,27366
MSD Radixsort,random,2700,6.3046,0
MSD Radixsort (with switch),random,2700,4.4004,17615
Standard Quicksort,reverse sorted,2700,140.477,3.64365e+006
Standard Mergesort,reverse sorted,2700,14.5042,14840
String Quicksort,reverse sorted,2700,4.502,50709
String Mergesort,reverse sorted,2700,14.1028,14840
MSD Radixsort,reverse sorted,2700,6.6014,0
MSD Radixsort (with switch),reverse sorted,2700,4.1,20279
Standard Quicksort,almost sorted,2700,135.406,3.30126e+006
Standard Mergesort,almost sorted,2700,13.806,16261
String Quicksort,almost sorted,2700,5.2016,115890
String Mergesort,almost sorted,2700,16.0096,17286
MSD Radixsort,almost sorted,2700,5.5984,0
MSD Radixsort (with switch),almost sorted,2700,3.7014,41780
Standard Quicksort,random,2800,2.994,34403
Standard Mergesort,random,2800,16.4042,28610
String Quicksort,random,2800,3.4016,40572
String Mergesort,random,2800,16.4012,28513
MSD Radixsort,random,2800,7.8002,0
MSD Radixsort (with switch),random,2800,4.102,18159
Standard Quicksort,reverse sorted,2800,149.106,3.9186e+006
Standard Mergesort,reverse sorted,2800,16.0148,15488
String Quicksort,reverse sorted,2800,4.0024,48032
String Mergesort,reverse sorted,2800,14.9514,15488
MSD Radixsort,reverse sorted,2800,6.908,0
MSD Radixsort (with switch),reverse sorted,2800,4.6026,21020
Standard Quicksort,almost sorted,2800,146.36,3.54314e+006
Standard Mergesort,almost sorted,2800,14.812,16885
